trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,exit_time,exit_price,exit_reason,live_result_r,live_profit_usd,backtest_result_r,backtest_profit_usd,difference_usd
53,CHF_JPY,bullish,2023-03-14 21:00:00+00:00,143.428002,141.53904168261192,144.56137819043283,2023-03-14 21:00:00+00:00,144.56137819043283,tp,0.6,207.00000000000003,-1.04,-405.48,612.48
52,CHF_JPY,bullish,2023-03-14 21:00:00+00:00,145.33184,143.8779406236224,146.20417962582655,2023-03-14 21:00:00+00:00,146.20417962582655,tp,0.6,207.00000000000003,-1.05,-410.12,617.12
51,EUR_AUD,bullish,2023-03-14 21:00:00+00:00,1.5882891,1.5645265740282974,1.6025466155830217,2023-03-14 21:00:00+00:00,1.6025466155830217,tp,0.6000000000000131,207.00000000000514,1.46,571.13,-364.1299999999949
50,USD_CHF,bearish,2023-03-14 21:00:00+00:00,0.93076574,0.9467566958351836,0.9211711664988896,2023-03-14 21:00:00+00:00,0.9211711664988896,tp,0.6000000000000125,207.00000000000492,1.45,565.15,-358.1499999999951
55,GBP_CHF,bearish,2023-03-14 21:00:00+00:00,1.12201386,1.1341811306480314,1.1147134976111812,2023-03-14 21:00:00+00:00,1.1147134976111812,tp,0.6,207.00000000000003,-1.06,-414.04,621.0400000000001
46,EUR_NZD,bullish,2023-03-14 21:00:00+00:00,1.69902304,1.6791306718537264,1.710958460887764,2023-03-14 21:00:00+00:00,1.710958460887764,tp,0.5999999999999955,206.9999999999983,1.46,568.74,-361.7400000000017
63,EUR_JPY,bullish,2023-03-14 21:00:00+00:00,143.533402,142.31427653744518,144.2648772775329,2023-03-14 23:00:00+00:00,144.2648772775329,tp,0.6000000000000046,207.00000000000185,-1.06,-413.99,620.9900000000018
26,BTC_USD,bullish,2023-03-12 00:00:00+00:00,22163.94921875,20143.87755214152,23375.992218715088,2023-03-15 00:00:00+00:00,,backtest_fallback,2.2,856.94,2.2,856.94,0.0
48,EUR_NZD,bullish,2023-03-14 21:00:00+00:00,1.71933652,1.7019035468100825,1.7297963039139506,2023-03-15 08:00:00+00:00,1.7297963039139506,tp,0.6000000000000102,207.000000000004,-1.04,-406.78,613.780000000004
57,GBP_JPY,bearish,2023-03-14 21:00:00+00:00,163.230992,164.60255051724488,162.4080568896531,2023-03-15 09:00:00+00:00,162.4080568896531,tp,0.5999999999999669,206.99999999998712,2.67,1039.86,-832.8600000000127
65,EUR_JPY,bearish,2023-03-14 21:00:00+00:00,144.36578,145.8968176794478,143.44715739233132,2023-03-15 09:00:00+00:00,143.44715739233132,tp,0.6000000000000038,207.0000000000015,2.67,1042.09,-835.0899999999984
45,USD_CAD,bullish,2023-03-13 21:00:00+00:00,1.36717078,1.3529596921555918,1.375697432706645,2023-03-15 11:00:00+00:00,1.375697432706645,tp,0.6000000000000062,207.00000000000244,-1.01,-393.42,600.4200000000025
47,EUR_NZD,bullish,2023-03-14 21:00:00+00:00,1.72106,1.7025822811800886,1.732146631291947,2023-03-15 12:00:00+00:00,1.7025822811800886,sl,-1.0,-417.00000000000006,-1.04,-405.83,-11.170000000000073
36,EUR_GBP,bullish,2023-03-12 21:00:00+00:00,0.8817915399999999,0.8727079027018838,0.8872417223788696,2023-03-15 13:00:00+00:00,0.8727079027018838,sl,-1.0,-417.00000000000006,-1.08,-422.2,5.199999999999932
59,EUR_GBP,bullish,2023-03-14 21:00:00+00:00,0.88086,0.8727411458524704,0.8857313124885177,2023-03-15 13:00:00+00:00,0.8727411458524704,sl,-1.0,-417.00000000000006,-1.05,-408.87,-8.130000000000052
58,EUR_GBP,bullish,2023-03-14 21:00:00+00:00,0.8817915399999999,0.8728341099827468,0.8871659980103518,2023-03-15 13:00:00+00:00,0.8728341099827468,sl,-1.0,-417.00000000000006,-1.08,-422.65,5.64999999999992
49,USD_CHF,bullish,2023-03-14 21:00:00+00:00,0.92420972,0.9098854790727068,0.932804264556376,2023-03-15 20:00:00+00:00,0.932804264556376,tp,0.6000000000000031,207.00000000000125,-1.01,-393.26,600.2600000000012
66,NZD_CAD,bullish,2023-03-15 21:00:00+00:00,0.84772966,0.8397501911801851,0.852517341291889,2023-03-16 21:00:00+00:00,0.852517341291889,tp,0.6000000000000055,207.0000000000022,1.4,546.78,-339.7799999999978
71,AUD_CAD,bearish,2023-03-16 21:00:00+00:00,0.92012356,0.9328180680183432,0.912506855188994,2023-03-16 21:00:00+00:00,0.912506855188994,tp,0.6,207.00000000000003,1.44,560.4,-353.4
69,AUD_USD,bearish,2023-03-16 21:00:00+00:00,0.67222432,0.6846764430543801,0.6647530461673719,2023-03-16 21:00:00+00:00,0.6647530461673719,tp,0.6000000000000035,207.00000000000142,2.14,834.9,-627.8999999999985
17,XAU_USD,bearish,2023-02-09 00:00:00+00:00,1862.8517604980468,1950.865623266564,1810.0434428369365,2023-03-17 00:00:00+00:00,,backtest_fallback,-0.96,-373.17,-0.96,-373.17,0.0
25,XAU_USD,bearish,2023-03-03 00:00:00+00:00,1845.6864301757807,1966.0650319732056,1773.4592690973266,2023-03-17 00:00:00+00:00,,backtest_fallback,-1.0,-390.24,-1.0,-390.24,0.0
43,XAG_USD,bearish,2023-03-13 00:00:00+00:00,21.185558467864997,22.12856957848993,20.619751801490036,2023-03-17 00:00:00+00:00,,backtest_fallback,-1.01,-393.1,-1.01,-393.1,0.0
42,XAG_USD,bearish,2023-03-13 00:00:00+00:00,21.393060123443604,22.110151880754707,20.96280506905694,2023-03-17 00:00:00+00:00,,backtest_fallback,-1.01,-394.08,-1.01,-394.08,0.0
56,GBP_USD,bullish,2023-03-14 21:00:00+00:00,1.2033,1.1753234773586323,1.2200859135848208,2023-03-19 21:00:00+00:00,1.2200859135848208,tp,0.6000000000000032,207.00000000000128,1.47,572.98,-365.97999999999877
75,EUR_CHF,bearish,2023-03-19 21:00:00+00:00,0.99446282,1.0071077412625835,0.9868758672424498,2023-03-20 06:00:00+00:00,0.9868758672424498,tp,0.6000000000000035,207.00000000000142,1.44,560.31,-353.3099999999985
70,GBP_JPY,bullish,2023-03-16 21:00:00+00:00,161.996972,159.3671723071758,163.57485181569453,2023-03-20 07:00:00+00:00,159.3671723071758,sl,-1.0,-417.00000000000006,-1.03,-401.12,-15.880000000000052
68,GBP_NZD,bullish,2023-03-16 21:00:00+00:00,1.94958,1.927253925173888,1.962975644895668,2023-03-20 15:00:00+00:00,1.962975644895668,tp,0.6000000000000258,207.00000000001012,1.46,570.34,-363.3399999999899
81,NZD_CAD,bullish,2023-03-20 21:00:00+00:00,0.8466895999999999,0.8341825501197462,0.8541938299281522,2023-03-20 21:00:00+00:00,0.8541938299281522,tp,0.6,207.00000000000003,-1.02,-396.23,603.23
80,NZD_CAD,bullish,2023-03-20 21:00:00+00:00,0.84772966,0.8402773616674191,0.8522010389995487,2023-03-20 21:00:00+00:00,0.8522010389995487,tp,0.600000000000006,207.00000000000236,1.4,544.19,-337.18999999999767
76,EUR_NZD,bullish,2023-03-19 21:00:00+00:00,1.71698,1.6906689569509477,1.7327666258294314,2023-03-21 08:00:00+00:00,1.7327666258294314,tp,0.6000000000000034,207.00000000000136,1.47,572.32,-365.3199999999987
78,EUR_NZD,bullish,2023-03-20 21:00:00+00:00,1.71933652,1.701871150609362,1.729815741634383,2023-03-21 08:00:00+00:00,1.729815741634383,tp,0.6000000000000127,207.000000000005,1.45,566.69,-359.68999999999505
73,NZD_CHF,bearish,2023-03-16 21:00:00+00:00,0.57926568,0.590575207747454,0.5724799633515276,2023-03-21 11:00:00+00:00,0.5724799633515276,tp,0.6,207.00000000000003,1.43,557.58,-350.58000000000004
