date,start_balance,daily_dd_base,min_equity_allowed,lowest_equity,max_daily_dd_pct,protective_close
2024-02-08,119360.68249496102,119647.97956121342,113665.58058315274,119623.79695334849,0.020211463623219645,False
2024-02-09,119360.68249496102,119714.4614248249,113728.73835358364,119494.03993249353,0.1841226947086795,False
2024-02-10,119360.68249496102,119508.63738756138,113533.2055181833,119508.63738756138,0.0,False
2024-02-11,120419.93249496102,120567.88738756138,114539.4930181833,120554.19471026961,0.011356819455374836,False
2024-02-12,120419.93249496102,120577.87417817135,114548.98046926278,120528.34027907459,0.04108042162326065,False
2024-02-13,120419.93249496102,120584.18931717258,114554.97985131395,119696.01495701088,0.7365595483049113,False
2024-02-14,119650.27249496101,119777.34187084838,113788.47477730595,119615.57609937788,0.13505540275298855,False
2024-02-15,119650.27249496101,119676.83629063092,113692.99447609937,119626.99946894299,0.04164283016882625,False
2024-02-16,119650.27249496101,119765.89740892331,113777.60253847713,119765.89740892331,0.0,False
2024-02-17,120895.542494961,120895.542494961,114850.76537021295,120856.2382218486,0.032510936550070715,False
2024-02-18,120895.542494961,120895.542494961,114850.76537021295,120844.39570096915,0.04230660033969655,False
2024-02-19,120895.542494961,120895.542494961,114850.76537021295,120735.88643684877,0.13206116190668213,False
2024-02-20,120895.542494961,120895.542494961,114850.76537021295,120624.42560002647,0.22425714740130345,False
2024-02-21,120895.542494961,120895.542494961,114850.76537021295,120600.3186200246,0.24419748556793092,False
2024-02-22,120895.542494961,120895.542494961,114850.76537021295,120619.33646682384,0.22846667663423514,False
2024-02-23,120895.542494961,120895.542494961,114850.76537021295,120659.67133243363,0.0,False
2024-02-24,121478.292494961,121478.292494961,115404.37787021295,121166.71414990899,0.256488907320569,False
2024-02-25,121478.292494961,121478.292494961,115404.37787021295,121166.71414990899,0.256488907320569,False
2024-02-26,121478.292494961,121478.292494961,115404.37787021295,121272.39006504933,0.0,False
2024-02-27,122057.882494961,122057.882494961,115954.98837021294,121905.62069671086,0.12474556754368207,False
2024-02-28,122057.882494961,122057.882494961,115954.98837021294,121928.46265391377,0.0,False
2024-02-29,123293.262494961,123518.8977321475,117342.95284554012,123308.39934220731,0.1704179634088492,False
2024-03-01,123293.262494961,123336.36267268719,117169.54453905282,123158.56844105093,0.14415394437088666,False
2024-03-02,123293.262494961,123293.262494961,117128.59937021295,123236.01870398034,0.046428969290192024,False
2024-03-03,123293.262494961,123293.262494961,117128.59937021295,123232.04134285185,0.049654904793888704,False
2024-03-04,123293.262494961,123293.262494961,117128.59937021295,123202.13829345364,0.0739085004836254,False
2024-03-05,123293.262494961,123293.262494961,117128.59937021295,123265.20804025883,0.0,False
2024-03-06,125509.262494961,125589.7782056694,119310.28929538593,125333.61978061195,0.2039643900301823,False
2024-03-07,125509.262494961,125509.262494961,119233.79937021295,125346.03191660198,0.0,False
2024-03-08,127630.452494961,127630.452494961,121248.92987021295,127336.20585794421,0.23054579159187258,False
2024-03-09,127630.452494961,127630.452494961,121248.92987021295,127378.67150712869,0.19727344290521692,False
2024-03-10,127630.452494961,127630.452494961,121248.92987021295,127364.46675321522,0.20840303904452886,False
2024-03-11,127630.452494961,127630.452494961,121248.92987021295,127508.67274591692,0.09541590322959499,False
2024-03-12,128213.22249496101,128213.22249496101,121802.56137021295,126480.07181582022,1.351772184970161,False
2024-03-13,128213.22249496101,128213.22249496101,121802.56137021295,126372.608334065,1.4355884089633237,False
2024-03-14,128213.22249496101,128213.22249496101,121802.56137021295,126216.37742590954,1.5574408241162117,False
2024-03-15,128213.22249496101,128611.23688059527,122180.6750365655,127648.7215507141,0.7483913172958542,False
2024-03-16,128213.22249496101,130038.97208326645,123537.02347910313,129705.57393210239,0.25638325635993053,False
2024-03-17,128213.22249496101,130038.97208326645,123537.02347910313,127616.33445026411,1.8630089073997547,False
2024-03-18,126659.70249496102,128468.65018727763,122045.21767791374,127361.862251285,0.861523752588035,False
2024-03-19,126215.61249496102,129169.91548022082,122711.41970620978,129169.91548022082,0.0,False
2024-03-20,130210.51249496102,136430.75227026435,129609.21465675112,134677.9321814794,1.2847690565486771,False
2024-03-21,134332.13249496106,136048.69059810447,129246.25606819923,133350.86137983252,1.9829880070227839,False
2024-03-22,133519.59249496108,133724.71600250146,127038.48020237638,133116.91639348812,0.45451553548408274,False
2024-03-23,133519.59249496108,135006.4923451404,128256.16772788338,134627.39814712008,0.2807970131178408,False
2024-03-24,133519.59249496108,135006.4923451404,128256.16772788338,134627.39814712008,0.2807970131178408,False
2024-03-25,134578.7024949611,135051.99688084182,128299.39703679972,134235.92104337184,0.6042678792746874,False
2024-03-26,135113.5124949611,135113.5124949611,128357.83687021302,134238.70279293632,0.6474627784229879,False
2024-03-27,134315.7624949611,134896.4897205391,128151.66523451214,134179.63199150085,0.5314131824507404,False
2024-03-28,133929.8924949611,134594.18513717887,127864.47588031992,133949.8404501801,0.47873144470694223,False
2024-03-29,133929.8924949611,136623.44854787033,129792.2761204768,134984.85003449634,1.1993537937961316,False
2024-03-30,133929.8924949611,136082.15282640213,129278.04518508202,135612.91653456775,0.3448183924845629,False
2024-03-31,133929.8924949611,136082.15282640213,129278.04518508202,135481.37108529342,0.441484594879333,False
2024-04-01,134347.5224949611,136198.79286717135,129388.85322381277,135808.35187093168,0.28666993885947295,False
2024-04-02,134347.5224949611,136984.80130476394,130135.56123952573,134634.35490531876,1.7158446609094276,False
2024-04-03,135130.37249496108,137456.40328546448,130583.58312119124,133874.51812186884,2.60583361559149,False
2024-04-04,133683.40249496108,133946.38455780133,127249.06532991126,132437.38080743933,1.1265729607735868,False
2024-04-05,134788.11249496107,134788.11249496107,128048.706870213,133116.3618148679,1.2402805033386426,False
2024-04-06,134397.96249496107,135878.80106544343,129084.86101217126,135542.9443635955,0.24717373071768828,False
2024-04-07,134397.96249496107,135878.80106544343,129084.86101217126,135542.9443635955,0.24717373071768828,False
2024-04-08,135340.34249496105,137067.69278672276,130214.30814738662,134155.21388276736,2.1248471063762757,False
2024-04-09,132804.69249496108,134518.3371098137,127792.420254323,133922.08155326353,0.4432522504819668,False
2024-04-10,134095.7724949611,134280.148430478,127566.1410089541,131845.38805385516,1.8131945824318263,False
2024-04-11,136959.03249496114,140420.77902560486,133399.74007432463,139171.61191363743,0.8895885072248819,False
2024-04-12,139809.63249496114,143188.1245555168,136028.71832774096,139303.69885555352,2.71281275037388,False
2024-04-13,139046.59249496114,141702.57847326924,134617.44954960578,139327.0214326781,1.6764388243219348,False
2024-04-14,137129.53249496114,139785.51847326924,132796.24254960578,138914.37936945216,0.6231969615534025,False
2024-04-15,137823.95249496115,141079.1860639838,134025.2267607846,139397.07121394988,1.1923196447072122,False
2024-04-16,137699.56249496117,141666.2394148103,134582.92744406976,139977.33968436296,1.1921681110642701,False
2024-04-17,139139.00249496117,141885.50724823715,134791.23188582528,139988.78580781605,1.3367971663960505,False
2024-04-18,139983.73249496118,141222.8925977138,134161.7479678281,138200.29731624754,2.1403012116997178,False
2024-04-19,135715.9924949612,138429.4458225726,131507.97353144397,135606.3178311355,2.039398463716707,False
2024-04-20,135715.9924949612,137153.98827729045,130296.28886342593,136937.33241207935,0.15796541386246457,False
2024-04-21,135715.9924949612,137153.98827729045,130296.28886342593,136719.2514554826,0.3169698725267366,False
2024-04-22,134940.46249496116,136807.20231527026,129966.84219950675,134895.900145834,1.3970771546308651,False
2024-04-23,133706.21249496116,135690.8610121725,128906.31796156388,134671.47877909246,0.7512534193357358,False
2024-04-24,132836.53249496114,136011.5394764009,129210.96250258086,134434.15548978478,1.1597427635100164,False
2024-04-25,133952.28249496114,137299.00356112944,130434.05338307297,135323.98013549228,1.4384834371779147,False
2024-04-26,134535.72249496114,137181.92173501948,130322.8256482685,135222.21904685922,1.4285429620570747,False
2024-04-27,134535.72249496114,140467.2608960831,133443.89785127895,139445.524344368,0.7273841215363303,False
2024-04-28,134535.72249496114,140467.2608960831,133443.89785127895,139445.524344368,0.7273841215363303,False
2024-04-29,138021.87249496116,141587.0457573884,134507.69346951897,136229.67894523393,3.783797298330814,False
2024-04-30,138772.67249496118,139820.84187056948,132829.799777041,138691.88728436243,0.807429401156168,False
2024-05-01,141539.2724949612,154515.82202747316,146790.03092609948,137095.19997074493,11.274328951005947,True
2024-05-02,143400.8269712892,144971.61680337702,137723.03596320815,140848.81528225794,2.8438680701966494,False
2024-05-03,140913.85697128923,140913.85697128923,133868.16412272476,138369.64225494865,1.8055106651853023,False
